iter	Passed	Remaining
0	174	34781
1	219	21746
2	263	17287
3	303	14885
4	354	13842
5	381	12330
6	420	11583
7	456	10958
8	486	1031799	512	9746110	536	9213111	555	8706112	585	8428113	613	8149114	642	7925115	672	7736116	700	7542117	730	7387118	756	7202119	788	7097220	817	6971221	829	6711222	858	6608223	890	6529224	920	6440225	949	6356226	976	6258227	989	6077228	1020	6012229	1051	5953030	1081	5893131	1087	57032	1111	5623
33	1140	5569
34	1174	5536
35	1203	5481
36	1231	5427
37	1260	5374
38	1291	5331
39	1319	5277
40	1349	5232
41	1375	5176
42	1405	5132
43	1435	5089
44	1464	5043
45	1474	4936
46	1501	4889
47	1508	4776
48	1513	4664
4949	1537	4615050	1567	4585151	1594	45352	1613	4474
53	1645	4450
54	1673	4412
55	1705	4385
56	1734	4352
57	1743	4268
58	1771	4233
59	1803	4208
60	1831	4172
61	1858	4136
62	1887	4103
63	1913	4065
64	1934	4018
65	1961	3983
66	1989	3948
67	2016	3913
68	2033	3860
69	2060	3825
70	2091	3800
71	2122	3772
72	2130	3706
7373	2156	3677474	2187	36475	2212	3609
76	2241	3581
7777	2270	3557878	2297	3517979	2326	3488080	2360	3468181	2384	3438282	2414	3408383	2440	3368484	2466	3338585	2481	32886	2500	3248
87	2533	3224
88	2567	3202
89	2597	3175
90	2632	3153
91	2660	3123
92	2687	3091
93	2717	3064
94	2734	3022
95	2765	2995
96	2795	2968
97	2822	2937
98	2832	2889
99	2857	2857
100	2886	2829
101	2912	2798
102	2942	2771
103	2969	2741
104	3001	2715
105	3033	2690
106	3063	2662
107	3094	2635
108	3126	2610
109	3159	2585
110	3190	2558
111	3220	2530
112	3229	2486
113	3255	2455
114	3281	2425
115	3308	2396
116	3315	2351
117	3342	2322
118	3371	2294
119	3377	2251
120	3406	2224
121	3434	2196
122	3462	2167
123	3492	2140
124	3518	2111
125	3545	2082
126	3574	2054
127	3600	2025
128	3628	1997
129	3659	1970
130	3689	1943
131	3717	1915
132	3744	1886
133	3776	1860
134	3804	1831
135	3823	1799
136	3853	1772
137	3881	1743
138	3912	1717
139	3947	1691
140	3959	1656
141	3986	1628
142	4016	1600
143	4042	1571
144	4074	1545
145	4103	1517
146	4130	1489
147	4156	1460
148	4185	1432
149	4213	1404
150	4240	1376
151	4270	1348
152	4300	1321
153	4329	1293
154	4358	1265
155	4369	1232
156	4386	1201
157	4417	1174
158	4422	1140
159	4448	1112
160	4477	1084
161	4507	1057
162	4536	1029
163	4564	1002
164	4594	974
165	4627	947
166	4637	916
167	4665	888
168	4697	861
169	4725	833
170	4753	806
171	4780	778
172	4810	750
173	4836	722
174	4865	695
175	4893	667
176	4927	640
177	4959	612
178	4989	585
179	5018	557
180	5045	529
181	5078	502
182	5106	474
183	5134	446
184	5163	418
185	5193	390
186	5221	362
187	5249	335
188	5280	307
189	5312	279
190	5340	251
191	5369	223
192	5394	195
193	5405	167
194	5417	138
195	5436	110
196	5455	83
197	5474	55
198	5477	27
199	5495	0

